Time: 0:41:01; Balance: 40
Time: 0:42:01; Balance: 42
Time: 0:43:01; Balance: 22
Time: 0:44:01; Balance: 0
Time: 0:45:01; Balance: 0
Time: 0:46:01; Balance: 0
Time: 0:47:01; Balance: 0
Time: 0:48:01; Balance: 0
Time: 0:49:01; Balance: 0
Time: 1:03:36; Balance: 40
Time: 10:29:16; Balance: 0
Time: 10:30:16; Balance: 0
Time: 10:31:16; Balance: 0
Time: 10:32:16; Balance: 0
Time: 10:33:16; Balance: 0
Time: 10:34:16; Balance: 0
Time: 10:35:16; Balance: 0
Time: 10:36:16; Balance: 0
Time: 10:37:16; Balance: 0
Time: 10:38:16; Balance: 0
Time: 10:39:16; Balance: 0
Time: 10:40:16; Balance: 0
Time: 11:02:23; Balance: 123
Time: 11:03:23; Balance: 98
Time: 11:04:23; Balance: 186
Time: 11:05:23; Balance: 77
Time: 11:06:23; Balance: 20
Time: 11:08:09; Balance: 119
Time: 11:09:09; Balance: 86
Time: 11:10:09; Balance: 141
Time: 11:11:09; Balance: 78
